Minute,ProductionOURMODEL,,MILP,
0,56,,27,54
0,112,,54,108
1,184,,81,162
3,274,,108,216
6,364,,135,270
6,420,,162,324
10,476,,189,378
12,532,,216,432
12,588,,243,486
13,644,,270,540
13,716,,297,594
13,788,,324,648
16,860,,351,702
17,916,,378,756
18,972,,405,810
18,1028,,432,864
18,1118,,459,918
20,1190,,486,972
24,1246,,513,1026
24,1302,,540,1080
25,1392,,567,1134
26,1448,,594,1188
27,1538,,621,1242
27,1594,,648,1296
31,1666,,675,1350
31,1738,,702,1404
31,1794,,729,1458
32,1850,,756,1512
34,1940,,783,1566
37,1996,,810,1620
40,2052,,837,1674
41,2124,,864,1728
41,2214,,891,1782
42,2286,,918,1836
42,2342,,945,1890
42,2398,,972,1944
46,2470,,999,1998
46,2526,,1026,2052
46,2582,,1053,2106
49,2672,,1080,2160
51,2728,,1107,2214
51,2784,,1134,2268
53,2856,,1161,2322
54,2946,,1188,2376
55,3002,,1215,2430
56,3058,,1242,2484
59,3114,,1269,2538
59,3186,,1296,2592
60,3242,,1323,2646
61,3314,,1350,2700
62,3370,,1377,2754
64,3426,,1404,2808
68,3482,,1431,2862
68,3572,,1458,2916
68,3644,,1485,2970
68,3734,,1512,3024
69,3806,,1539,3078
71,3862,,1566,3132
73,3952,,1593,3186
74,4008,,1620,3240
74,4080,,1647,3294
78,4136,,1674,3348
81,4226,,1701,3402
82,4298,,1728,3456
82,4370,,1755,3510
82,4426,,1782,3564
82,4482,,1809,3618
82,4538,,1836,3672
86,4594,,1863,3726
87,4666,,1890,3780
87,4722,,1917,3834
87,4778,,1944,3888
87,4868,,1971,3942
92,4924,,1998,3996
92,5014,,2025,4050
98,5086,,2052,4104
98,5142,,2079,4158
98,5198,,2106,4212
98,5288,,2133,4266
98,5344,,2160,4320
99,5416,,2187,4374
,,,2214,
,,,2241,
,,,2268,
,,,2295,
,,,2322,
,,,2349,
,,,2376,
,,,2403,
,,,2430,
,,,2457,
,,,2484,
,,,2511,
,,,2538,
,,,2565,
,,,2592,
,,,2619,
,,,2646,
,,,2673,
